cell_line,bin,cut,median,n
hct116,low,0.18586945533752441,0.1101193055510521,65
hct116,medium,0.4139179090658823,0.2712952792644501,64
hct116,high,,0.5368360280990601,65
hek293t,low,0.1797761768102646,0.1444413661956787,27
hek293t,medium,0.2801410655180613,0.21447524428367615,27
hek293t,high,,0.3589952886104584,27
hela,low,0.1851828694343567,0.11904758960008621,120
hela,medium,0.3705642521381378,0.2671368718147278,119
hela,high,,0.5031765699386597,119
hl60,low,0.1995302637418111,0.1628100425004959,34
hl60,medium,0.32056044538815814,0.23559369146823883,33
hl60,high,,0.366501122713089,34
