Feature,Position,Channel,Transformer_Attention,Attention_Entropy,Attention_SNR
A_pos_18,18,A,0.20404881238937378,3.433246612548828,2.584796905517578
C_pos_18,18,C,0.20404881238937378,3.433246612548828,2.584796905517578
G_pos_18,18,G,0.20404881238937378,3.433246612548828,2.584796905517578
T_pos_18,18,T,0.20404881238937378,3.433246612548828,2.584796905517578
CTCF_pos_18,18,CTCF,0.20404881238937378,3.433246612548828,2.584796905517578
Dnase_pos_18,18,Dnase,0.20404881238937378,3.433246612548828,2.584796905517578
H3K4me3_pos_18,18,H3K4me3,0.20404881238937378,3.433246612548828,2.584796905517578
RRBS_pos_18,18,RRBS,0.20404881238937378,3.433246612548828,2.584796905517578
RRBS_pos_19,19,RRBS,0.14826738834381104,3.433246612548828,1.9935427904129028
H3K4me3_pos_19,19,H3K4me3,0.14826738834381104,3.433246612548828,1.9935427904129028
Dnase_pos_19,19,Dnase,0.14826738834381104,3.433246612548828,1.9935427904129028
CTCF_pos_19,19,CTCF,0.14826738834381104,3.433246612548828,1.9935427904129028
T_pos_19,19,T,0.14826738834381104,3.433246612548828,1.9935427904129028
G_pos_19,19,G,0.14826738834381104,3.433246612548828,1.9935427904129028
C_pos_19,19,C,0.14826738834381104,3.433246612548828,1.9935427904129028
A_pos_19,19,A,0.14826738834381104,3.433246612548828,1.9935427904129028
RRBS_pos_20,20,RRBS,0.1174696832895279,3.433246612548828,1.475199580192566
H3K4me3_pos_20,20,H3K4me3,0.1174696832895279,3.433246612548828,1.475199580192566
Dnase_pos_20,20,Dnase,0.1174696832895279,3.433246612548828,1.475199580192566
CTCF_pos_20,20,CTCF,0.1174696832895279,3.433246612548828,1.475199580192566
T_pos_20,20,T,0.1174696832895279,3.433246612548828,1.475199580192566
G_pos_20,20,G,0.1174696832895279,3.433246612548828,1.475199580192566
C_pos_20,20,C,0.1174696832895279,3.433246612548828,1.475199580192566
A_pos_20,20,A,0.1174696832895279,3.433246612548828,1.475199580192566
A_pos_17,17,A,0.0946321040391922,3.433246612548828,1.382930874824524
C_pos_17,17,C,0.0946321040391922,3.433246612548828,1.382930874824524
G_pos_17,17,G,0.0946321040391922,3.433246612548828,1.382930874824524
T_pos_17,17,T,0.0946321040391922,3.433246612548828,1.382930874824524
CTCF_pos_17,17,CTCF,0.0946321040391922,3.433246612548828,1.382930874824524
Dnase_pos_17,17,Dnase,0.0946321040391922,3.433246612548828,1.382930874824524
H3K4me3_pos_17,17,H3K4me3,0.0946321040391922,3.433246612548828,1.382930874824524
RRBS_pos_17,17,RRBS,0.0946321040391922,3.433246612548828,1.382930874824524
RRBS_pos_13,13,RRBS,0.05784650146961212,3.433246612548828,0.809655487537384
H3K4me3_pos_13,13,H3K4me3,0.05784650146961212,3.433246612548828,0.809655487537384
Dnase_pos_13,13,Dnase,0.05784650146961212,3.433246612548828,0.809655487537384
CTCF_pos_13,13,CTCF,0.05784650146961212,3.433246612548828,0.809655487537384
T_pos_13,13,T,0.05784650146961212,3.433246612548828,0.809655487537384
G_pos_13,13,G,0.05784650146961212,3.433246612548828,0.809655487537384
C_pos_13,13,C,0.05784650146961212,3.433246612548828,0.809655487537384
A_pos_13,13,A,0.05784650146961212,3.433246612548828,0.809655487537384
RRBS_pos_14,14,RRBS,0.05414203181862831,3.433246612548828,0.7986623644828796
H3K4me3_pos_14,14,H3K4me3,0.05414203181862831,3.433246612548828,0.7986623644828796
Dnase_pos_14,14,Dnase,0.05414203181862831,3.433246612548828,0.7986623644828796
CTCF_pos_14,14,CTCF,0.05414203181862831,3.433246612548828,0.7986623644828796
T_pos_14,14,T,0.05414203181862831,3.433246612548828,0.7986623644828796
G_pos_14,14,G,0.05414203181862831,3.433246612548828,0.7986623644828796
C_pos_14,14,C,0.05414203181862831,3.433246612548828,0.7986623644828796
A_pos_14,14,A,0.05414203181862831,3.433246612548828,0.7986623644828796
A_pos_0,0,A,0.04674501344561577,3.433246612548828,0.8912979960441589
C_pos_0,0,C,0.04674501344561577,3.433246612548828,0.8912979960441589
G_pos_0,0,G,0.04674501344561577,3.433246612548828,0.8912979960441589
T_pos_0,0,T,0.04674501344561577,3.433246612548828,0.8912979960441589
CTCF_pos_0,0,CTCF,0.04674501344561577,3.433246612548828,0.8912979960441589
Dnase_pos_0,0,Dnase,0.04674501344561577,3.433246612548828,0.8912979960441589
H3K4me3_pos_0,0,H3K4me3,0.04674501344561577,3.433246612548828,0.8912979960441589
RRBS_pos_0,0,RRBS,0.04674501344561577,3.433246612548828,0.8912979960441589
RRBS_pos_12,12,RRBS,0.033400483429431915,3.433246612548828,0.7581968307495117
H3K4me3_pos_12,12,H3K4me3,0.033400483429431915,3.433246612548828,0.7581968307495117
Dnase_pos_12,12,Dnase,0.033400483429431915,3.433246612548828,0.7581968307495117
CTCF_pos_12,12,CTCF,0.033400483429431915,3.433246612548828,0.7581968307495117
T_pos_12,12,T,0.033400483429431915,3.433246612548828,0.7581968307495117
G_pos_12,12,G,0.033400483429431915,3.433246612548828,0.7581968307495117
C_pos_12,12,C,0.033400483429431915,3.433246612548828,0.7581968307495117
A_pos_12,12,A,0.033400483429431915,3.433246612548828,0.7581968307495117
A_pos_10,10,A,0.026610611006617546,3.433246612548828,1.5563021898269653
